inst,rule,tp,sl,period,days,win,tp20,ge18,exp_pips
EURUSD,sell,10.0,200.0,B 2024-26,679,0.9528815054395766,19.055964653902798,0.8703976435935199,0.20144810349897102
EURUSD,sell,10.0,300.0,A 2021-23,776,0.9730147485026084,19.460051546391753,0.9188144329896907,2.111238487795453
EURUSD,sell,10.0,300.0,B 2024-26,679,0.9603057924139958,19.204712812960235,0.8939617083946981,0.23118935607174476
EURUSD,sell,10.0,450.0,A 2021-23,776,0.9780382559412636,19.560567010309278,0.9368556701030928,2.6137695626972373
EURUSD,sell,10.0,450.0,B 2024-26,679,0.9632461040870333,19.26362297496318,0.8998527245949927,0.6525801234930911
EURUSD,sell,10.0,600.0,A 2021-23,776,0.9780382559412636,19.560567010309278,0.9368556701030928,2.7998454305403495
EURUSD,sell,10.0,600.0,B 2024-26,679,0.9633196118788592,19.265095729013254,0.8998527245949927,0.11110702734490016
EURUSD,sell,10.0,900.0,A 2021-23,776,0.9780382559412636,19.560567010309278,0.9368556701030928,2.6181941134797446
EURUSD,sell,10.0,900.0,B 2024-26,679,0.9633196118788592,19.265095729013254,0.8998527245949927,0.06725227874154778
EURUSD,sell,10.0,1200.0,A 2021-23,776,0.9780382559412636,19.560567010309278,0.9368556701030928,2.6165646937592584
EURUSD,sell,10.0,1200.0,B 2024-26,679,0.9633196118788592,19.265095729013254,0.8998527245949927,0.09502352249338515
EURUSD,sell,20.0,20.0,A 2021-23,776,0.4762027436079088,9.527061855670103,0.06056701030927835,-0.9518902556836478
EURUSD,sell,20.0,20.0,B 2024-26,679,0.48154954425169066,9.64359351988218,0.101620029455081,-0.7380182299323729
EURUSD,sell,20.0,30.0,A 2021-23,776,0.5885876215624396,11.775773195876289,0.20489690721649484,-0.5706189218780189
EURUSD,sell,20.0,30.0,B 2024-26,679,0.5881358423992943,11.765832106038292,0.22827687776141384,-0.5932078800352837
EURUSD,sell,20.0,50.0,A 2021-23,776,0.7070908739614864,14.146907216494846,0.4110824742268041,-0.503638822695949
EURUSD,sell,20.0,50.0,B 2024-26,679,0.7053807703616584,14.114874815905743,0.4477172312223859,-0.6233460746839165
EURUSD,sell,20.0,75.0,A 2021-23,776,0.7779996135763508,15.565721649484535,0.5347938144329897,-1.090036710246667
EURUSD,sell,20.0,75.0,B 2024-26,679,0.7863863569538371,15.726067746686303,0.5861561119293078,-0.29329608938547486
EURUSD,sell,20.0,100.0,A 2021-23,776,0.8276550524892123,16.559278350515463,0.6430412371134021,-0.6813937012945193
EURUSD,sell,20.0,100.0,B 2024-26,679,0.8282122905027933,16.564064801178205,0.6745213549337261,-0.6145251396648045
EURUSD,sell,20.0,150.0,A 2021-23,776,0.8868422747472146,17.73582474226804,0.7693298969072165,0.7631867070264701
EURUSD,sell,20.0,150.0,B 2024-26,679,0.8863569538371068,17.723122238586157,0.7790868924889544,0.6806821523081447
EURUSD,sell,20.0,200.0,A 2021-23,776,0.9155664326656792,18.310567010309278,0.8247422680412371,1.6512462162684358
EURUSD,sell,20.0,200.0,B 2024-26,679,0.914877977065569,18.294550810014726,0.8291605301914581,1.7133637165539557
EURUSD,sell,20.0,300.0,A 2021-23,776,0.945514265473047,18.90979381443299,0.8827319587628866,3.411805242480839
EURUSD,sell,20.0,300.0,B 2024-26,679,0.927006762716848,18.53755522827688,0.8586156111929307,1.3472361070273458
EURUSD,sell,20.0,450.0,A 2021-23,776,0.9555612803503575,19.11082474226804,0.9033505154639175,4.7115218651381445
EURUSD,sell,20.0,450.0,B 2024-26,679,0.9312702146427522,18.62297496318115,0.8645066273932254,1.6672596295207285
EURUSD,sell,20.0,600.0,A 2021-23,776,0.9555612803503575,19.11082474226804,0.9033505154639175,5.1863914471565655
EURUSD,sell,20.0,600.0,B 2024-26,679,0.9313437224345781,18.624447717231224,0.8645066273932254,0.8451631872978532
EURUSD,sell,20.0,900.0,A 2021-23,776,0.9555612803503575,19.11082474226804,0.9033505154639175,4.829316674180459
EURUSD,sell,20.0,900.0,B 2024-26,679,0.9313437224345781,18.624447717231224,0.8645066273932254,0.9424213466627458
EURUSD,sell,20.0,1200.0,A 2021-23,776,0.9555612803503575,19.11082474226804,0.9033505154639175,4.837972563920911
EURUSD,sell,20.0,1200.0,B 2024-26,679,0.9313437224345781,18.624447717231224,0.8645066273932254,0.9794325198471028
EURUSD,sell,30.0,30.0,A 2021-23,776,0.4964899851870935,9.934278350515465,0.17268041237113402,-0.21060088877439298
EURUSD,sell,30.0,30.0,B 2024-26,679,0.4973537194942664,9.94698085419735,0.18851251840942562,-0.15877683034401646
EURUSD,sell,30.0,50.0,A 2021-23,776,0.6202099568493592,12.40979381443299,0.35180412371134023,-0.38320345205126555
EURUSD,sell,30.0,50.0,B 2024-26,679,0.6189356071743605,12.382916053019146,0.38880706921944036,-0.4851514260511614
EURUSD,sell,30.0,75.0,A 2021-23,776,0.7061248148386682,14.128865979381443,0.47551546391752575,-0.8568944419398468
EURUSD,sell,30.0,75.0,B 2024-26,679,0.7120699794178182,14.237113402061855,0.5213549337260678,-0.2326521611290797
EURUSD,sell,30.0,100.0,A 2021-23,776,0.7687254459972951,15.381443298969073,0.5889175257731959,-0.06569202035164552
EURUSD,sell,30.0,100.0,B 2024-26,679,0.7657306674507498,15.312223858615612,0.6156111929307806,-0.4550132314025287
EURUSD,sell,30.0,150.0,A 2021-23,776,0.8465254073549301,16.929123711340207,0.7319587628865979,2.3798930894570747
EURUSD,sell,30.0,150.0,B 2024-26,679,0.8355630696853866,16.705449189985274,0.7304860088365243,0.4013525433695972
EURUSD,sell,30.0,200.0,A 2021-23,776,0.8837508855541959,17.673969072164947,0.7899484536082474,3.520995684935918
EURUSD,sell,30.0,200.0,B 2024-26,679,0.876139370773302,17.518409425625922,0.7952871870397643,2.4311084975007358
EURUSD,sell,30.0,300.0,A 2021-23,776,0.9216204031686739,18.431701030927837,0.8595360824742269,5.5267405165196095
EURUSD,sell,30.0,300.0,B 2024-26,679,0.8953984122316966,17.904270986745214,0.8291605301914581,2.668891502499266
EURUSD,sell,30.0,450.0,A 2021-23,776,0.9337927481161847,18.675257731958762,0.8814432989690721,7.105789914342756
EURUSD,sell,30.0,450.0,B 2024-26,679,0.9006174654513378,18.008836524300442,0.8350515463917526,2.875088209350191
EURUSD,sell,30.0,600.0,A 2021-23,776,0.9337927481161847,18.675257731958762,0.8814432989690721,7.7467959039093195
